date,value
12/8/18,2.25
12/9/18,2.25
12/10/18,2.25
12/11/18,2.25
12/12/18,2.25
12/13/18,2.25
12/14/18,2.25
12/15/18,2.25
12/16/18,2.25
12/17/18,2.25
12/18/18,2.25
12/19/18,2.25
12/20/18,2.5
12/21/18,2.5
12/22/18,2.5
12/23/18,2.5
12/24/18,2.5
12/25/18,2.5
12/26/18,2.5
12/27/18,2.5
12/28/18,2.5
12/29/18,2.5
12/30/18,2.5
12/31/18,2.5
1/1/19,2.5
1/2/19,2.5
1/3/19,2.5
1/4/19,2.5
1/5/19,2.5
1/6/19,2.5
1/7/19,2.5
1/8/19,2.5
1/9/19,2.5
1/10/19,2.5
1/11/19,2.5
1/12/19,2.5
1/13/19,2.5
1/14/19,2.5
1/15/19,2.5
1/16/19,2.5
1/17/19,2.5
1/18/19,2.5
1/19/19,2.5
1/20/19,2.5
1/21/19,2.5
1/22/19,2.5
1/23/19,2.5
1/24/19,2.5
1/25/19,2.5
1/26/19,2.5
1/27/19,2.5
1/28/19,2.5
1/29/19,2.5
1/30/19,2.5
1/31/19,2.5
2/1/19,2.5
2/2/19,2.5
2/3/19,2.5
2/4/19,2.5
2/5/19,2.5
2/6/19,2.5
2/7/19,2.5
2/8/19,2.5
2/9/19,2.5
2/10/19,2.5
2/11/19,2.5
2/12/19,2.5
2/13/19,2.5
2/14/19,2.5
2/15/19,2.5
2/16/19,2.5
2/17/19,2.5
2/18/19,2.5
2/19/19,2.5
2/20/19,2.5
2/21/19,2.5
2/22/19,2.5
2/23/19,2.5
2/24/19,2.5
2/25/19,2.5
2/26/19,2.5
2/27/19,2.5
2/28/19,2.5
3/1/19,2.5
3/2/19,2.5
3/3/19,2.5
3/4/19,2.5
3/5/19,2.5
3/6/19,2.5
3/7/19,2.5
3/8/19,2.5
3/9/19,2.5
3/10/19,2.5
3/11/19,2.5
3/12/19,2.5
3/13/19,2.5
3/14/19,2.5
3/15/19,2.5
3/16/19,2.5
3/17/19,2.5
3/18/19,2.5
3/19/19,2.5
3/20/19,2.5
3/21/19,2.5
3/22/19,2.5
3/23/19,2.5
3/24/19,2.5
3/25/19,2.5
3/26/19,2.5
3/27/19,2.5
3/28/19,2.5
3/29/19,2.5
3/30/19,2.5
3/31/19,2.5
4/1/19,2.5
4/2/19,2.5
4/3/19,2.5
4/4/19,2.5
4/5/19,2.5
4/6/19,2.5
4/7/19,2.5
4/8/19,2.5
4/9/19,2.5
4/10/19,2.5
4/11/19,2.5
4/12/19,2.5
4/13/19,2.5
4/14/19,2.5
4/15/19,2.5
4/16/19,2.5
4/17/19,2.5
4/18/19,2.5
4/19/19,2.5
4/20/19,2.5
4/21/19,2.5
4/22/19,2.5
4/23/19,2.5
4/24/19,2.5
4/25/19,2.5
4/26/19,2.5
4/27/19,2.5
4/28/19,2.5
4/29/19,2.5
4/30/19,2.5
5/1/19,2.5
5/2/19,2.5
5/3/19,2.5
5/4/19,2.5
5/5/19,2.5
5/6/19,2.5
5/7/19,2.5
5/8/19,2.5
5/9/19,2.5
5/10/19,2.5
5/11/19,2.5
5/12/19,2.5
5/13/19,2.5
5/14/19,2.5
5/15/19,2.5
5/16/19,2.5
5/17/19,2.5
5/18/19,2.5
5/19/19,2.5
5/20/19,2.5
5/21/19,2.5
5/22/19,2.5
5/23/19,2.5
5/24/19,2.5
5/25/19,2.5
5/26/19,2.5
5/27/19,2.5
5/28/19,2.5
5/29/19,2.5
5/30/19,2.5
5/31/19,2.5
6/1/19,2.5
6/2/19,2.5
6/3/19,2.5
6/4/19,2.5
6/5/19,2.5
6/6/19,2.5
6/7/19,2.5
6/8/19,2.5
6/9/19,2.5
6/10/19,2.5
6/11/19,2.5
6/12/19,2.5
6/13/19,2.5
6/14/19,2.5
6/15/19,2.5
6/16/19,2.5
6/17/19,2.5
6/18/19,2.5
6/19/19,2.5
6/20/19,2.5
6/21/19,2.5
6/22/19,2.5
6/23/19,2.5
6/24/19,2.5
6/25/19,2.5
6/26/19,2.5
6/27/19,2.5
6/28/19,2.5
6/29/19,2.5
6/30/19,2.5
7/1/19,2.5
7/2/19,2.5
7/3/19,2.5
7/4/19,2.5
7/5/19,2.5
7/6/19,2.5
7/7/19,2.5
7/8/19,2.5
7/9/19,2.5
7/10/19,2.5
7/11/19,2.5
7/12/19,2.5
7/13/19,2.5
7/14/19,2.5
7/15/19,2.5
7/16/19,2.5
7/17/19,2.5
7/18/19,2.5
7/19/19,2.5
7/20/19,2.5
7/21/19,2.5
7/22/19,2.5
7/23/19,2.5
7/24/19,2.5
7/25/19,2.5
7/26/19,2.5
7/27/19,2.5
7/28/19,2.5
7/29/19,2.5
7/30/19,2.5
7/31/19,2.5
8/1/19,2.25
8/2/19,2.25
8/3/19,2.25
8/4/19,2.25
8/5/19,2.25
8/6/19,2.25
8/7/19,2.25
8/8/19,2.25
8/9/19,2.25
8/10/19,2.25
8/11/19,2.25
8/12/19,2.25
8/13/19,2.25
8/14/19,2.25
8/15/19,2.25
8/16/19,2.25
8/17/19,2.25
8/18/19,2.25
8/19/19,2.25
8/20/19,2.25
8/21/19,2.25
8/22/19,2.25
8/23/19,2.25
8/24/19,2.25
8/25/19,2.25
8/26/19,2.25
8/27/19,2.25
8/28/19,2.25
8/29/19,2.25
8/30/19,2.25
8/31/19,2.25
9/1/19,2.25
9/2/19,2.25
9/3/19,2.25
9/4/19,2.25
9/5/19,2.25
9/6/19,2.25
9/7/19,2.25
9/8/19,2.25
9/9/19,2.25
9/10/19,2.25
9/11/19,2.25
9/12/19,2.25
9/13/19,2.25
9/14/19,2.25
9/15/19,2.25
9/16/19,2.25
9/17/19,2.25
9/18/19,2.25
9/19/19,2
9/20/19,2
9/21/19,2
9/22/19,2
9/23/19,2
9/24/19,2
9/25/19,2
9/26/19,2
9/27/19,2
9/28/19,2
9/29/19,2
9/30/19,2
10/1/19,2
10/2/19,2
10/3/19,2
10/4/19,2
10/5/19,2
10/6/19,2
10/7/19,2
10/8/19,2
10/9/19,2
10/10/19,2
10/11/19,2
10/12/19,2
10/13/19,2
10/14/19,2
10/15/19,2
10/16/19,2
10/17/19,2
10/18/19,2
10/19/19,2
10/20/19,2
10/21/19,2
10/22/19,2
10/23/19,2
10/24/19,2
10/25/19,2
10/26/19,2
10/27/19,2
10/28/19,2
10/29/19,2
10/30/19,2
10/31/19,1.75
11/1/19,1.75
11/2/19,1.75
11/3/19,1.75
11/4/19,1.75
11/5/19,1.75
11/6/19,1.75
11/7/19,1.75
11/8/19,1.75
11/9/19,1.75
11/10/19,1.75
11/11/19,1.75
11/12/19,1.75
11/13/19,1.75
11/14/19,1.75
11/15/19,1.75
11/16/19,1.75
11/17/19,1.75
11/18/19,1.75
11/19/19,1.75
11/20/19,1.75
11/21/19,1.75
11/22/19,1.75
11/23/19,1.75
11/24/19,1.75
11/25/19,1.75
11/26/19,1.75
11/27/19,1.75
11/28/19,1.75
11/29/19,1.75
11/30/19,1.75
12/1/19,1.75
12/2/19,1.75
12/3/19,1.75
12/4/19,1.75
12/5/19,1.75
12/6/19,1.75
12/7/19,1.75
12/8/19,1.75
12/9/19,1.75
12/10/19,1.75
12/11/19,1.75
12/12/19,1.75
12/13/19,1.75
12/14/19,1.75
12/15/19,1.75
12/16/19,1.75
12/17/19,1.75
12/18/19,1.75
12/19/19,1.75
12/20/19,1.75
12/21/19,1.75
12/22/19,1.75
12/23/19,1.75
12/24/19,1.75
12/25/19,1.75
12/26/19,1.75
12/27/19,1.75
12/28/19,1.75
12/29/19,1.75
12/30/19,1.75
12/31/19,1.75
1/1/20,1.75
1/2/20,1.75
1/3/20,1.75
1/4/20,1.75
1/5/20,1.75
1/6/20,1.75
1/7/20,1.75
1/8/20,1.75
1/9/20,1.75
1/10/20,1.75
1/11/20,1.75
1/12/20,1.75
1/13/20,1.75
1/14/20,1.75
1/15/20,1.75
1/16/20,1.75
1/17/20,1.75
1/18/20,1.75
1/19/20,1.75
1/20/20,1.75
1/21/20,1.75
1/22/20,1.75
1/23/20,1.75
1/24/20,1.75
1/25/20,1.75
1/26/20,1.75
1/27/20,1.75
1/28/20,1.75
1/29/20,1.75
1/30/20,1.75
1/31/20,1.75
2/1/20,1.75
2/2/20,1.75
2/3/20,1.75
2/4/20,1.75
2/5/20,1.75
2/6/20,1.75
2/7/20,1.75
2/8/20,1.75
2/9/20,1.75
2/10/20,1.75
2/11/20,1.75
2/12/20,1.75
2/13/20,1.75
2/14/20,1.75
2/15/20,1.75
2/16/20,1.75
2/17/20,1.75
2/18/20,1.75
2/19/20,1.75
2/20/20,1.75
2/21/20,1.75
2/22/20,1.75
2/23/20,1.75
2/24/20,1.75
2/25/20,1.75
2/26/20,1.75
2/27/20,1.75
2/28/20,1.75
2/29/20,1.75
3/1/20,1.75
3/2/20,1.75
3/3/20,1.75
3/4/20,1.25
3/5/20,1.25
3/6/20,1.25
3/7/20,1.25
3/8/20,1.25
3/9/20,1.25
3/10/20,1.25
3/11/20,1.25
3/12/20,1.25
3/13/20,1.25
3/14/20,1.25
3/15/20,1.25
3/16/20,0.25
3/17/20,0.25
3/18/20,0.25
3/19/20,0.25
3/20/20,0.25
3/21/20,0.25
3/22/20,0.25
3/23/20,0.25
3/24/20,0.25
3/25/20,0.25
3/26/20,0.25
3/27/20,0.25
3/28/20,0.25
3/29/20,0.25
3/30/20,0.25
3/31/20,0.25
4/1/20,0.25
4/2/20,0.25
4/3/20,0.25
4/4/20,0.25
4/5/20,0.25
4/6/20,0.25
4/7/20,0.25
4/8/20,0.25
4/9/20,0.25
4/10/20,0.25
4/11/20,0.25
4/12/20,0.25
4/13/20,0.25
4/14/20,0.25
4/15/20,0.25
4/16/20,0.25
4/17/20,0.25
4/18/20,0.25
4/19/20,0.25
4/20/20,0.25
4/21/20,0.25
4/22/20,0.25
4/23/20,0.25
4/24/20,0.25
4/25/20,0.25
4/26/20,0.25
4/27/20,0.25
4/28/20,0.25
4/29/20,0.25
4/30/20,0.25
5/1/20,0.25
5/2/20,0.25
5/3/20,0.25
5/4/20,0.25
5/5/20,0.25
5/6/20,0.25
5/7/20,0.25
5/8/20,0.25
5/9/20,0.25
5/10/20,0.25
5/11/20,0.25
5/12/20,0.25
5/13/20,0.25
5/14/20,0.25
5/15/20,0.25
5/16/20,0.25
5/17/20,0.25
5/18/20,0.25
5/19/20,0.25
5/20/20,0.25
5/21/20,0.25
5/22/20,0.25
5/23/20,0.25
5/24/20,0.25
5/25/20,0.25
5/26/20,0.25
5/27/20,0.25
5/28/20,0.25
5/29/20,0.25
5/30/20,0.25
5/31/20,0.25
6/1/20,0.25
6/2/20,0.25
6/3/20,0.25
6/4/20,0.25
6/5/20,0.25
6/6/20,0.25
6/7/20,0.25
6/8/20,0.25
6/9/20,0.25
6/10/20,0.25
6/11/20,0.25
6/12/20,0.25
6/13/20,0.25
6/14/20,0.25
6/15/20,0.25
6/16/20,0.25
6/17/20,0.25
6/18/20,0.25
6/19/20,0.25
6/20/20,0.25
6/21/20,0.25
6/22/20,0.25
6/23/20,0.25
6/24/20,0.25
6/25/20,0.25
6/26/20,0.25
6/27/20,0.25
6/28/20,0.25
6/29/20,0.25
6/30/20,0.25
7/1/20,0.25
7/2/20,0.25
7/3/20,0.25
7/4/20,0.25
7/5/20,0.25
7/6/20,0.25
7/7/20,0.25
7/8/20,0.25
7/9/20,0.25
7/10/20,0.25
7/11/20,0.25
7/12/20,0.25
7/13/20,0.25
7/14/20,0.25
7/15/20,0.25
7/16/20,0.25
7/17/20,0.25
7/18/20,0.25
7/19/20,0.25
7/20/20,0.25
7/21/20,0.25
7/22/20,0.25
7/23/20,0.25
7/24/20,0.25
7/25/20,0.25
7/26/20,0.25
7/27/20,0.25
7/28/20,0.25
7/29/20,0.25
7/30/20,0.25
7/31/20,0.25
8/1/20,0.25
8/2/20,0.25
8/3/20,0.25
8/4/20,0.25
8/5/20,0.25
8/6/20,0.25
8/7/20,0.25
8/8/20,0.25
8/9/20,0.25
8/10/20,0.25
8/11/20,0.25
8/12/20,0.25
8/13/20,0.25
8/14/20,0.25
8/15/20,0.25
8/16/20,0.25
8/17/20,0.25
8/18/20,0.25
8/19/20,0.25
8/20/20,0.25
8/21/20,0.25
8/22/20,0.25
8/23/20,0.25
8/24/20,0.25
8/25/20,0.25
8/26/20,0.25
8/27/20,0.25
8/28/20,0.25
8/29/20,0.25
8/30/20,0.25
8/31/20,0.25
9/1/20,0.25
9/2/20,0.25
9/3/20,0.25
9/4/20,0.25
9/5/20,0.25
9/6/20,0.25
9/7/20,0.25
9/8/20,0.25
9/9/20,0.25
9/10/20,0.25
9/11/20,0.25
9/12/20,0.25
9/13/20,0.25
9/14/20,0.25
9/15/20,0.25
9/16/20,0.25
9/17/20,0.25
9/18/20,0.25
9/19/20,0.25
9/20/20,0.25
9/21/20,0.25
9/22/20,0.25
9/23/20,0.25
9/24/20,0.25
9/25/20,0.25
9/26/20,0.25
9/27/20,0.25
9/28/20,0.25
9/29/20,0.25
9/30/20,0.25
10/1/20,0.25
10/2/20,0.25
10/3/20,0.25
10/4/20,0.25
10/5/20,0.25
10/6/20,0.25
10/7/20,0.25
10/8/20,0.25
10/9/20,0.25
10/10/20,0.25
10/11/20,0.25
10/12/20,0.25
10/13/20,0.25
10/14/20,0.25
10/15/20,0.25
10/16/20,0.25
10/17/20,0.25
10/18/20,0.25
10/19/20,0.25
10/20/20,0.25
10/21/20,0.25
10/22/20,0.25
10/23/20,0.25
10/24/20,0.25
10/25/20,0.25
10/26/20,0.25
10/27/20,0.25
10/28/20,0.25
10/29/20,0.25
10/30/20,0.25
10/31/20,0.25
11/1/20,0.25
11/2/20,0.25
11/3/20,0.25
11/4/20,0.25
11/5/20,0.25
11/6/20,0.25
11/7/20,0.25
11/8/20,0.25
11/9/20,0.25
11/10/20,0.25
11/11/20,0.25
11/12/20,0.25
11/13/20,0.25
11/14/20,0.25
11/15/20,0.25
11/16/20,0.25
11/17/20,0.25
11/18/20,0.25
11/19/20,0.25
11/20/20,0.25
11/21/20,0.25
11/22/20,0.25
11/23/20,0.25
11/24/20,0.25
11/25/20,0.25
11/26/20,0.25
11/27/20,0.25
11/28/20,0.25
11/29/20,0.25
11/30/20,0.25
12/1/20,0.25
12/2/20,0.25
12/3/20,0.25
12/4/20,0.25
12/5/20,0.25
12/6/20,0.25
12/7/20,0.25
12/8/20,0.25
12/9/20,0.25
12/10/20,0.25
12/11/20,0.25
12/12/20,0.25
12/13/20,0.25
12/14/20,0.25
12/15/20,0.25
12/16/20,0.25
12/17/20,0.25
12/18/20,0.25
12/19/20,0.25
12/20/20,0.25
12/21/20,0.25
12/22/20,0.25
12/23/20,0.25
12/24/20,0.25
12/25/20,0.25
12/26/20,0.25
12/27/20,0.25
12/28/20,0.25
12/29/20,0.25
12/30/20,0.25
12/31/20,0.25
1/1/21,0.25
1/2/21,0.25
1/3/21,0.25
1/4/21,0.25
1/5/21,0.25
1/6/21,0.25
1/7/21,0.25
1/8/21,0.25
1/9/21,0.25
1/10/21,0.25
1/11/21,0.25
1/12/21,0.25
1/13/21,0.25
1/14/21,0.25
1/15/21,0.25
1/16/21,0.25
1/17/21,0.25
1/18/21,0.25
1/19/21,0.25
1/20/21,0.25
1/21/21,0.25
1/22/21,0.25
1/23/21,0.25
1/24/21,0.25
1/25/21,0.25
1/26/21,0.25
1/27/21,0.25
1/28/21,0.25
1/29/21,0.25
1/30/21,0.25
1/31/21,0.25
2/1/21,0.25
2/2/21,0.25
2/3/21,0.25
2/4/21,0.25
2/5/21,0.25
2/6/21,0.25
2/7/21,0.25
2/8/21,0.25
2/9/21,0.25
2/10/21,0.25
2/11/21,0.25
2/12/21,0.25
2/13/21,0.25
2/14/21,0.25
2/15/21,0.25
2/16/21,0.25
2/17/21,0.25
2/18/21,0.25
2/19/21,0.25
2/20/21,0.25
2/21/21,0.25
2/22/21,0.25
2/23/21,0.25
2/24/21,0.25
2/25/21,0.25
2/26/21,0.25
2/27/21,0.25
2/28/21,0.25
3/1/21,0.25
3/2/21,0.25
3/3/21,0.25
3/4/21,0.25
3/5/21,0.25
3/6/21,0.25
3/7/21,0.25
3/8/21,0.25
3/9/21,0.25
3/10/21,0.25
3/11/21,0.25
3/12/21,0.25
3/13/21,0.25
3/14/21,0.25
3/15/21,0.25
3/16/21,0.25
3/17/21,0.25
3/18/21,0.25
3/19/21,0.25
3/20/21,0.25
3/21/21,0.25
3/22/21,0.25
3/23/21,0.25
3/24/21,0.25
3/25/21,0.25
3/26/21,0.25
3/27/21,0.25
3/28/21,0.25
3/29/21,0.25
3/30/21,0.25
3/31/21,0.25
4/1/21,0.25
4/2/21,0.25
4/3/21,0.25
4/4/21,0.25
4/5/21,0.25
4/6/21,0.25
4/7/21,0.25
4/8/21,0.25
4/9/21,0.25
4/10/21,0.25
4/11/21,0.25
4/12/21,0.25
4/13/21,0.25
4/14/21,0.25
4/15/21,0.25
4/16/21,0.25
4/17/21,0.25
4/18/21,0.25
4/19/21,0.25
4/20/21,0.25
4/21/21,0.25
4/22/21,0.25
4/23/21,0.25
4/24/21,0.25
4/25/21,0.25
4/26/21,0.25
4/27/21,0.25
4/28/21,0.25
4/29/21,0.25
4/30/21,0.25
5/1/21,0.25
5/2/21,0.25
5/3/21,0.25
5/4/21,0.25
5/5/21,0.25
5/6/21,0.25
5/7/21,0.25
5/8/21,0.25
5/9/21,0.25
5/10/21,0.25
5/11/21,0.25
5/12/21,0.25
5/13/21,0.25
5/14/21,0.25
5/15/21,0.25
5/16/21,0.25
5/17/21,0.25
5/18/21,0.25
5/19/21,0.25
5/20/21,0.25
5/21/21,0.25
5/22/21,0.25
5/23/21,0.25
5/24/21,0.25
5/25/21,0.25
5/26/21,0.25
5/27/21,0.25
5/28/21,0.25
5/29/21,0.25
5/30/21,0.25
5/31/21,0.25
6/1/21,0.25
6/2/21,0.25
6/3/21,0.25
6/4/21,0.25
6/5/21,0.25
6/6/21,0.25
6/7/21,0.25
6/8/21,0.25
6/9/21,0.25
6/10/21,0.25
6/11/21,0.25
6/12/21,0.25
6/13/21,0.25
6/14/21,0.25
6/15/21,0.25
6/16/21,0.25
6/17/21,0.25
6/18/21,0.25
6/19/21,0.25
6/20/21,0.25
6/21/21,0.25
6/22/21,0.25
6/23/21,0.25
6/24/21,0.25
6/25/21,0.25
6/26/21,0.25
6/27/21,0.25
6/28/21,0.25
6/29/21,0.25
6/30/21,0.25
7/1/21,0.25
7/2/21,0.25
7/3/21,0.25
7/4/21,0.25
7/5/21,0.25
7/6/21,0.25
7/7/21,0.25
7/8/21,0.25
7/9/21,0.25
7/10/21,0.25
7/11/21,0.25
7/12/21,0.25
7/13/21,0.25
7/14/21,0.25
7/15/21,0.25
7/16/21,0.25
7/17/21,0.25
7/18/21,0.25
7/19/21,0.25
7/20/21,0.25
7/21/21,0.25
7/22/21,0.25
7/23/21,0.25
7/24/21,0.25
7/25/21,0.25
7/26/21,0.25
7/27/21,0.25
7/28/21,0.25
7/29/21,0.25
7/30/21,0.25
7/31/21,0.25
8/1/21,0.25
8/2/21,0.25
8/3/21,0.25
8/4/21,0.25
8/5/21,0.25
8/6/21,0.25
8/7/21,0.25
8/8/21,0.25
8/9/21,0.25
8/10/21,0.25
8/11/21,0.25
8/12/21,0.25
8/13/21,0.25
8/14/21,0.25
8/15/21,0.25
8/16/21,0.25
8/17/21,0.25
8/18/21,0.25
8/19/21,0.25
8/20/21,0.25
8/21/21,0.25
8/22/21,0.25
8/23/21,0.25
8/24/21,0.25
8/25/21,0.25
8/26/21,0.25
8/27/21,0.25
8/28/21,0.25
8/29/21,0.25
8/30/21,0.25
8/31/21,0.25
9/1/21,0.25
9/2/21,0.25
9/3/21,0.25
9/4/21,0.25
9/5/21,0.25
9/6/21,0.25
9/7/21,0.25
9/8/21,0.25
9/9/21,0.25
9/10/21,0.25
9/11/21,0.25
9/12/21,0.25
9/13/21,0.25
9/14/21,0.25
9/15/21,0.25
9/16/21,0.25
9/17/21,0.25
9/18/21,0.25
9/19/21,0.25
9/20/21,0.25
9/21/21,0.25
9/22/21,0.25
9/23/21,0.25
9/24/21,0.25
9/25/21,0.25
9/26/21,0.25
9/27/21,0.25
9/28/21,0.25
9/29/21,0.25
9/30/21,0.25
10/1/21,0.25
10/2/21,0.25
10/3/21,0.25
10/4/21,0.25
10/5/21,0.25
10/6/21,0.25
10/7/21,0.25
10/8/21,0.25
10/9/21,0.25
10/10/21,0.25
10/11/21,0.25
10/12/21,0.25
10/13/21,0.25
10/14/21,0.25
10/15/21,0.25
10/16/21,0.25
10/17/21,0.25
10/18/21,0.25
10/19/21,0.25
10/20/21,0.25
10/21/21,0.25
10/22/21,0.25
10/23/21,0.25
10/24/21,0.25
10/25/21,0.25
10/26/21,0.25
10/27/21,0.25
10/28/21,0.25
10/29/21,0.25
10/30/21,0.25
10/31/21,0.25
11/1/21,0.25
11/2/21,0.25
11/3/21,0.25
11/4/21,0.25
11/5/21,0.25
11/6/21,0.25
11/7/21,0.25
11/8/21,0.25
11/9/21,0.25
11/10/21,0.25
11/11/21,0.25
11/12/21,0.25
11/13/21,0.25
11/14/21,0.25
11/15/21,0.25
11/16/21,0.25
11/17/21,0.25
11/18/21,0.25
11/19/21,0.25
11/20/21,0.25
11/21/21,0.25
11/22/21,0.25
11/23/21,0.25
11/24/21,0.25
11/25/21,0.25
11/26/21,0.25
11/27/21,0.25
11/28/21,0.25
11/29/21,0.25
